# duration[s]	pdf_on_orig	pdf_on_adj	pdf_off_orig	pdf_off_adj
0.0	0.000e+00	0.000e+00	0.000e+00	0.000e+00
0.1	1.207e-01	0.000e+00	1.019e-01	0.000e+00
0.2	1.781e-01	0.000e+00	1.755e-01	0.000e+00
0.3	2.580e-01	0.000e+00	3.040e-01	0.000e+00
0.4	3.630e-01	0.000e+00	3.630e-01	0.000e+00
0.5	4.534e-01	4.877e-01	4.544e-01	4.934e-01
0.6	5.349e-01	5.638e-01	5.072e-01	5.308e-01
0.7	5.923e-01	5.980e-01	5.814e-01	6.114e-01
0.8	6.143e-01	6.209e-01	6.284e-01	6.431e-01
0.9	6.686e-01	6.634e-01	6.493e-01	6.456e-01
1.0	6.043e-01	6.038e-01	6.519e-01	6.558e-01
1.1	5.767e-01	5.568e-01	5.589e-01	5.308e-01
1.2	5.176e-01	5.004e-01	4.978e-01	4.896e-01
1.3	4.299e-01	4.103e-01	4.356e-01	4.129e-01
1.4	3.552e-01	3.590e-01	3.907e-01	3.805e-01
1.5	3.265e-01	3.146e-01	3.353e-01	3.336e-01
1.6	3.061e-01	3.095e-01	3.030e-01	3.114e-01
1.7	2.721e-01	2.835e-01	2.800e-01	2.962e-01
1.8	2.601e-01	2.924e-01	2.492e-01	2.721e-01
1.9	2.241e-01	2.315e-01	2.241e-01	2.416e-01
2.0	1.995e-01	2.163e-01	1.990e-01	2.220e-01
2.1	1.927e-01	2.201e-01	1.859e-01	2.150e-01
2.2	1.839e-01	2.118e-01	1.640e-01	2.004e-01
2.3	1.546e-01	1.884e-01	1.426e-01	1.788e-01
2.4	1.457e-01	1.820e-01	1.572e-01	1.782e-01
2.5	1.389e-01	1.674e-01	1.233e-01	1.440e-01
2.6	1.118e-01	1.478e-01	1.327e-01	1.719e-01
2.7	1.139e-01	1.440e-01	1.154e-01	1.459e-01
2.8	9.506e-02	1.275e-01	9.611e-02	1.332e-01
2.9	9.036e-02	1.256e-01	8.723e-02	1.091e-01
3.0	7.469e-02	9.893e-02	8.044e-02	1.065e-01
3.1	8.201e-02	1.002e-01	6.843e-02	8.942e-02
3.2	6.372e-02	9.767e-02	7.313e-02	9.576e-02
3.3	6.268e-02	8.942e-02	6.738e-02	9.576e-02
3.4	5.798e-02	8.245e-02	4.858e-02	6.976e-02
3.5	4.649e-02	6.913e-02	4.753e-02	7.293e-02
3.6	4.597e-02	6.215e-02	5.119e-02	7.040e-02
3.7	5.276e-02	7.737e-02	3.604e-02	5.391e-02
3.8	4.858e-02	6.976e-02	3.395e-02	5.771e-02
3.9	3.447e-02	5.391e-02	3.865e-02	6.025e-02
4.0	3.134e-02	4.883e-02	2.612e-02	4.503e-02
4.1	2.977e-02	4.249e-02	2.664e-02	4.249e-02
4.2	2.925e-02	4.566e-02	2.768e-02	4.820e-02
4.3	2.142e-02	3.678e-02	2.246e-02	3.805e-02
4.4	2.194e-02	3.488e-02	2.194e-02	3.742e-02
4.5	2.298e-02	3.615e-02	1.985e-02	3.742e-02
4.6	1.567e-02	3.171e-02	1.515e-02	2.727e-02
4.7	1.724e-02	2.981e-02	2.037e-02	2.727e-02
4.8	1.880e-02	3.298e-02	2.194e-02	3.234e-02
4.9	1.201e-02	2.664e-02	1.358e-02	2.410e-02
5.0	1.097e-02	2.473e-02	1.201e-02	1.903e-02
5.1	1.201e-02	1.903e-02	1.358e-02	2.347e-02
5.2	1.149e-02	2.093e-02	1.410e-02	2.347e-02
5.3	6.268e-03	1.205e-02	1.149e-02	1.776e-02
5.4	8.357e-03	1.522e-02	4.179e-03	1.015e-02
5.5	5.746e-03	1.268e-02	7.313e-03	1.205e-02
5.6	8.880e-03	1.712e-02	6.790e-03	1.522e-02
5.7	3.656e-03	9.513e-03	8.880e-03	1.395e-02
5.8	5.746e-03	1.078e-02	5.746e-03	1.459e-02
5.9	3.134e-03	1.015e-02	4.701e-03	1.078e-02
6.0	5.746e-03	1.205e-02	4.701e-03	1.205e-02
6.1	5.746e-03	1.268e-02	1.567e-03	5.074e-03
6.2	3.134e-03	8.245e-03	4.179e-03	1.268e-02
6.3	2.612e-03	6.976e-03	2.612e-03	1.015e-02
6.4	3.134e-03	1.015e-02	7.835e-03	1.015e-02
6.5	2.612e-03	9.513e-03	3.656e-03	8.245e-03
6.6	1.045e-03	4.439e-03	3.656e-03	7.610e-03
6.7	1.567e-03	5.074e-03	3.134e-03	5.708e-03
6.8	1.567e-03	5.074e-03	1.045e-03	3.805e-03
6.9	2.612e-03	6.342e-03	2.612e-03	6.976e-03
7.0	5.223e-04	2.537e-03	2.612e-03	4.439e-03
7.1	1.045e-03	6.342e-03	1.567e-03	5.708e-03
7.2	1.045e-03	3.805e-03	2.089e-03	6.342e-03
7.3	1.567e-03	4.439e-03	2.089e-03	6.342e-03
7.4	0.000e+00	3.171e-03	1.045e-03	3.171e-03
7.5	1.045e-03	2.537e-03	5.223e-04	1.903e-03
7.6	5.223e-04	1.268e-03	2.089e-03	6.976e-03
7.7	1.567e-03	1.903e-03	0.000e+00	1.268e-03
7.8	2.089e-03	3.805e-03	1.045e-03	5.074e-03
7.9	2.612e-03	5.708e-03	5.223e-04	2.537e-03
8.0	0.000e+00	1.903e-03	0.000e+00	1.903e-03
8.1	1.045e-03	2.537e-03	0.000e+00	1.268e-03
8.2	0.000e+00	2.537e-03	1.045e-03	4.439e-03
8.3	0.000e+00	3.805e-03	1.567e-03	3.171e-03
8.4	1.045e-03	3.171e-03	0.000e+00	2.537e-03
8.5	5.223e-04	6.342e-04	0.000e+00	1.268e-03
8.6	5.223e-04	1.903e-03	0.000e+00	1.268e-03
8.7	0.000e+00	1.268e-03	0.000e+00	6.342e-04
8.8	0.000e+00	6.342e-04	0.000e+00	1.268e-03
8.9	1.567e-03	5.074e-03	0.000e+00	0.000e+00
9.0	1.045e-03	2.537e-03	5.223e-04	2.537e-03
9.1	0.000e+00	1.903e-03	0.000e+00	6.342e-04
9.2	0.000e+00	6.342e-04	5.223e-04	1.268e-03
9.3	0.000e+00	0.000e+00	0.000e+00	6.342e-04
9.4	1.045e-03	1.268e-03	0.000e+00	0.000e+00
9.5	1.045e-03	1.903e-03	5.223e-04	1.903e-03
9.6	0.000e+00	6.342e-04	5.223e-04	6.342e-04
9.7	5.223e-04	6.342e-04	0.000e+00	1.903e-03
9.8	0.000e+00	6.342e-04	5.223e-04	1.268e-03
9.9	0.000e+00	0.000e+00	0.000e+00	0.000e+00
10.0	5.223e-04	6.342e-04	0.000e+00	0.000e+00
10.1	5.223e-04	6.342e-04	5.223e-04	1.903e-03
10.2	0.000e+00	0.000e+00	0.000e+00	0.000e+00
10.3	0.000e+00	0.000e+00	5.223e-04	6.342e-04
10.4	0.000e+00	0.000e+00	0.000e+00	0.000e+00
10.5	5.223e-04	1.268e-03	0.000e+00	6.342e-04
10.6	0.000e+00	0.000e+00	0.000e+00	0.000e+00
10.7	0.000e+00	0.000e+00	0.000e+00	0.000e+00
10.8	0.000e+00	0.000e+00	0.000e+00	0.000e+00
10.9	0.000e+00	6.342e-04	5.223e-04	6.342e-04
11.0	0.000e+00	0.000e+00	0.000e+00	6.342e-04
11.1	0.000e+00	0.000e+00	0.000e+00	0.000e+00
11.2	0.000e+00	0.000e+00	0.000e+00	0.000e+00
11.3	0.000e+00	0.000e+00	0.000e+00	0.000e+00
11.4	0.000e+00	0.000e+00	0.000e+00	0.000e+00
11.5	0.000e+00	6.342e-04	0.000e+00	0.000e+00
11.6	0.000e+00	6.342e-04	0.000e+00	0.000e+00
11.7	0.000e+00	0.000e+00	0.000e+00	0.000e+00
11.8	0.000e+00	0.000e+00	0.000e+00	0.000e+00
11.9	0.000e+00	0.000e+00	0.000e+00	0.000e+00
12.0	0.000e+00	0.000e+00	0.000e+00	0.000e+00
12.1	0.000e+00	0.000e+00	0.000e+00	0.000e+00
12.2	0.000e+00	0.000e+00	0.000e+00	0.000e+00
12.3	0.000e+00	0.000e+00	0.000e+00	0.000e+00
12.4	0.000e+00	0.000e+00	0.000e+00	0.000e+00
12.5	0.000e+00	0.000e+00	0.000e+00	0.000e+00
12.6	0.000e+00	0.000e+00	0.000e+00	0.000e+00
12.7	0.000e+00	0.000e+00	0.000e+00	0.000e+00
12.8	0.000e+00	0.000e+00	0.000e+00	0.000e+00
12.9	0.000e+00	0.000e+00	0.000e+00	0.000e+00
13.0	0.000e+00	0.000e+00	0.000e+00	0.000e+00
13.1	0.000e+00	0.000e+00	0.000e+00	0.000e+00
13.2	0.000e+00	0.000e+00	0.000e+00	6.342e-04
13.3	0.000e+00	0.000e+00	0.000e+00	0.000e+00
13.4	0.000e+00	0.000e+00	0.000e+00	0.000e+00
13.5	0.000e+00	0.000e+00	0.000e+00	0.000e+00
13.6	0.000e+00	0.000e+00	0.000e+00	0.000e+00
13.7	0.000e+00	0.000e+00	0.000e+00	0.000e+00
13.8	0.000e+00	0.000e+00	0.000e+00	0.000e+00
13.9	0.000e+00	0.000e+00	0.000e+00	0.000e+00
14.0	0.000e+00	0.000e+00	0.000e+00	0.000e+00
14.1	0.000e+00	0.000e+00	0.000e+00	0.000e+00
14.2	0.000e+00	0.000e+00	0.000e+00	0.000e+00
14.3	0.000e+00	0.000e+00	0.000e+00	0.000e+00
14.4	0.000e+00	0.000e+00	0.000e+00	0.000e+00
14.5	0.000e+00	0.000e+00	0.000e+00	0.000e+00
14.6	0.000e+00	0.000e+00	0.000e+00	0.000e+00
14.7	0.000e+00	0.000e+00	0.000e+00	0.000e+00
14.8	0.000e+00	0.000e+00	0.000e+00	0.000e+00
14.9	0.000e+00	0.000e+00	0.000e+00	0.000e+00
15.0	0.000e+00	0.000e+00	0.000e+00	0.000e+00
15.1	0.000e+00	0.000e+00	0.000e+00	0.000e+00
15.2	0.000e+00	0.000e+00	0.000e+00	0.000e+00
15.3	0.000e+00	0.000e+00	0.000e+00	0.000e+00
15.4	0.000e+00	0.000e+00	0.000e+00	0.000e+00
15.5	0.000e+00	0.000e+00	0.000e+00	0.000e+00
15.6	0.000e+00	6.342e-04	0.000e+00	0.000e+00
15.7	0.000e+00	0.000e+00	0.000e+00	0.000e+00
15.8	0.000e+00	0.000e+00	0.000e+00	0.000e+00
15.9	0.000e+00	0.000e+00	0.000e+00	0.000e+00
16.0	0.000e+00	0.000e+00	0.000e+00	0.000e+00
16.1	0.000e+00	0.000e+00	0.000e+00	0.000e+00
16.2	0.000e+00	0.000e+00	0.000e+00	0.000e+00
16.3	0.000e+00	0.000e+00	0.000e+00	0.000e+00
16.4	0.000e+00	0.000e+00	0.000e+00	0.000e+00
16.5	0.000e+00	0.000e+00	0.000e+00	0.000e+00
16.6	0.000e+00	0.000e+00	0.000e+00	0.000e+00
16.7	0.000e+00	0.000e+00	0.000e+00	0.000e+00
16.8	0.000e+00	0.000e+00	0.000e+00	0.000e+00
16.9	0.000e+00	0.000e+00	0.000e+00	0.000e+00
17.0	0.000e+00	0.000e+00	0.000e+00	0.000e+00
17.1	0.000e+00	0.000e+00	0.000e+00	0.000e+00
17.2	0.000e+00	0.000e+00	0.000e+00	0.000e+00
17.3	0.000e+00	0.000e+00	0.000e+00	0.000e+00
17.4	0.000e+00	0.000e+00	0.000e+00	0.000e+00
17.5	0.000e+00	0.000e+00	0.000e+00	0.000e+00
17.6	0.000e+00	0.000e+00	0.000e+00	6.342e-04
