# duration[s]	open_theoretical_valve	open_jet_grid_valve	closed_theoretical_valve	closed_jet_grid_valve
0.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00
0.050	2.288e-01	0.000e+00	2.027e-01	0.000e+00
0.100	3.594e-01	0.000e+00	3.541e-01	0.000e+00
0.150	5.171e-01	0.000e+00	6.059e-01	0.000e+00
0.200	7.281e-01	0.000e+00	7.313e-01	0.000e+00
0.250	9.015e-01	9.702e-01	8.953e-01	9.613e-01
0.300	1.072e+00	1.124e+00	1.030e+00	1.073e+00
0.350	1.196e+00	1.212e+00	1.155e+00	1.228e+00
0.400	1.230e+00	1.243e+00	1.258e+00	1.290e+00
0.450	1.329e+00	1.316e+00	1.293e+00	1.289e+00
0.500	1.223e+00	1.228e+00	1.304e+00	1.302e+00
0.550	1.141e+00	1.100e+00	1.119e+00	1.068e+00
0.600	1.049e+00	1.010e+00	9.945e-01	9.803e-01
0.650	8.462e-01	8.117e-01	8.817e-01	8.421e-01
0.700	7.250e-01	7.280e-01	7.636e-01	7.533e-01
0.750	6.456e-01	6.290e-01	6.811e-01	6.734e-01
0.800	6.132e-01	6.252e-01	5.944e-01	6.088e-01
0.850	5.380e-01	5.618e-01	5.589e-01	5.961e-01
0.900	5.202e-01	5.720e-01	4.983e-01	5.479e-01
0.950	4.419e-01	4.553e-01	4.565e-01	4.870e-01
1.000	4.116e-01	4.426e-01	3.991e-01	4.413e-01
1.050	3.803e-01	4.325e-01	3.688e-01	4.337e-01
1.100	3.750e-01	4.375e-01	3.353e-01	4.058e-01
1.150	3.134e-01	3.741e-01	2.810e-01	3.450e-01
1.200	2.821e-01	3.551e-01	3.040e-01	3.538e-01
1.250	2.800e-01	3.424e-01	2.601e-01	3.031e-01
1.300	2.236e-01	2.904e-01	2.633e-01	3.462e-01
1.350	2.309e-01	2.930e-01	2.236e-01	2.866e-01
1.400	1.859e-01	2.460e-01	1.964e-01	2.676e-01
1.450	1.776e-01	2.460e-01	1.755e-01	2.118e-01
1.500	1.525e-01	2.042e-01	1.588e-01	2.156e-01
1.550	1.640e-01	2.029e-01	1.348e-01	1.814e-01
1.600	1.295e-01	1.953e-01	1.546e-01	1.978e-01
1.650	1.254e-01	1.801e-01	1.358e-01	1.877e-01
1.700	1.139e-01	1.623e-01	9.506e-02	1.382e-01
1.750	9.506e-02	1.446e-01	9.297e-02	1.484e-01
1.800	9.089e-02	1.205e-01	1.055e-01	1.458e-01
1.850	1.034e-01	1.509e-01	7.208e-02	1.040e-01
1.900	9.924e-02	1.446e-01	7.208e-02	1.154e-01
1.950	6.581e-02	1.040e-01	7.730e-02	1.154e-01
2.000	6.163e-02	9.258e-02	5.223e-02	9.131e-02
2.050	6.372e-02	9.385e-02	5.328e-02	8.751e-02
2.100	5.641e-02	8.878e-02	5.537e-02	9.004e-02
2.150	4.179e-02	7.356e-02	4.492e-02	7.990e-02
2.200	4.179e-02	6.722e-02	4.179e-02	7.229e-02
2.250	4.910e-02	7.483e-02	4.388e-02	7.863e-02
2.300	3.134e-02	6.341e-02	2.821e-02	5.073e-02
2.350	3.552e-02	5.961e-02	4.179e-02	5.707e-02
2.400	3.656e-02	6.848e-02	4.074e-02	5.961e-02
2.450	2.089e-02	4.439e-02	3.134e-02	5.200e-02
2.500	2.403e-02	5.327e-02	2.089e-02	3.297e-02
2.550	2.507e-02	4.058e-02	2.821e-02	4.692e-02
2.600	2.298e-02	4.312e-02	3.030e-02	4.819e-02
2.650	1.254e-02	2.029e-02	1.985e-02	3.297e-02
2.700	1.671e-02	3.044e-02	1.045e-02	2.283e-02
2.750	1.149e-02	2.663e-02	1.358e-02	2.283e-02
2.800	1.671e-02	3.171e-02	1.358e-02	2.917e-02
2.850	7.313e-03	2.410e-02	1.671e-02	2.917e-02
